"uri","url","date","time","source.uri","source.title","lang","title","body"
"6491602744","https://venturebeat.com/2021/03/25/what-is-a-nosql-database/","2021-03-25","15:42:00","venturebeat.com","VentureBeat","eng","What is a NoSQL database?","Join Transform 2021 for the most important themes in enterprise AI & Data. Learn more. The NoSQL database gets its name from what it isn't: a database that does not use Structured Query Language (SQL) to access the data. Some of the well-known databases, such as Oracle and PostgreSQL, are SQL ..."
"6507248793","https://dzone.com/articles/framewars-part-1","2021-04-05","22:12:00","dzone.com","DZone","eng","NoSQL, the Cloud, and Java: Part 1: The NoSQL Approaches - DZone Java","Non-relational databases or NoSQL are increasingly present in solutions in more conservative areas such as financial sectors and health, among others. With the popularization of this solution, the question arises of how to integrate these banks with Java. This post will aim to buy and analyze ..."
"6491756816","https://www.newswinters.com/uncategorized/52235/nosql-market-2021-in-depth-detailed-survey-and-outlook-report-2021-2025/","2021-03-25","17:34:00","newswinters.com","newswinters.com","eng","NoSQL Market 2021 | In-depth, Detailed Survey and Outlook Report 2021-2025","Development Trends In Global NoSQL Market Forecast 2021-2027: Growth Drivers, Regional Outlook ,Progress Factors, Outlook Developments, Analysis and Projections 2027 The nosqll Report outline the important details which are based on key regions, revenue, future summary ,top key players, type, ..."
"6525441232","https://www.makeuseof.com/crud-operations-mongodb/","2021-04-18","17:20:00","makeuseof.com","MakeUseOf","eng","How to Perform CRUD Operations in MongoDB","Getting to know MongoDB is tricky. Hit the ground running with CRUD. MongoDB provides its users with the ability to create modern databases that are easily accessed and manipulated. MongoDB is a NoSQL open-source database that is available for use on all operating systems. If you learned database ..."
"6501241418","https://jaxenter.com/nosql-vs-sql-174024.html","2021-04-01","6:28:00","jaxenter.com","JAXenter.com","eng","NoSQL vs SQL - JAXenter","Individual databases have different strengths and weaknesses, and two important broad database categories are ""relational"" (SQL) and ""non-relational"" (NoSQL/Not-Only-SQL). The two frameworks are increasingly crossing over with each other but the two principally model data differently -- offering ..."
"6499113860","https://www.newswinters.com/uncategorized/92062/nosql-market-to-enjoy-explosive-growth-by-2025-google-mapr-technologies-couchbase/","2021-03-30","20:59:00","newswinters.com","newswinters.com","eng","NoSQL Market to Enjoy 'Explosive Growth' by 2025 &#124; Google, MapR Technologies, Couchbase","The Global NoSQL Market to witnessed good recovery in growth post first half of 2020 and is projected coverup market sizing during the forecast period (2021-2026). The assessment provides a 360° view and insights - outlining the key outcomes of the NoSQL market, current scenario analysis that ..."
"6494261532","https://amarketforecast.com/2021/03/27/nosql-market-development-analysis-2016-2030/","2021-03-27","10:38:00","amarketforecast.com","amarketforecast.com","eng","NoSQL  Market Development Analysis 2016-2030","Not only standardized query language (NoSQL) is a database mechanism developed for analysis, storage, and access to a massive volume of unstructured data. It enables schema-less data storage, unlike relational database storage. High scalability and precise control of NoSQL, along with simpler ..."
"6526681522","https://www.marketscreener.com//news/latest/Crate-io-Receives-2021-IoT-Evolution-Industrial-IoT-Product-of-the-Year-Award--33004683/","2021-04-19","15:08:00","marketscreener.com","Market Screener","eng","Crate.io Receives 2021 IoT Evolution Industrial IoT Product of the Year Award","SAN FRANCISCO, April 19, 2021 (GLOBE NEWSWIRE) -- Crate.io, developer and supplier of CrateDB, the purpose-built database optimized for machine data use cases, today announced that CrateDB has earned a 2021 IoT Evolution Industrial Product of the Year Award from IoT Evolution World. ""The solutions ..."
"6498329677","https://www.smashingmagazine.com/2021/03/choosing-new-serverless-database-technology-agency/","2021-03-30","10:59:00","smashingmagazine.com","Smashing Magazine","eng","Choosing A New Serverless Database Technology At An Agency (Case Study)  --  Smashing Magazine","This article has been kindly supported by our dear friends at Fauna who make working with operational data productive, scalable and secure for every software development team. Thank you! Adopting a new technology is one of the hardest decisions for a technologist in a leadership role. This is often ..."
"6493916514","https://insidebigdata.com/2021/03/26/understanding-nosql-databases-document-stores/","2021-03-27","4:13:00","insidebigdata.com","Inside-BigData","eng","Understanding NoSQL Databases: Document Stores","Document-oriented databases (also called: aggregate databases, document databases or document stores) place each record, and its associative data, inside single documents. This database type is a subset of the NoSQL umbrella, which refers to the growing list of popular database management systems ..."
"6504830253","https://dzone.com/articles/how-we-implemented-distributed-multi-document-acid","2021-04-03","21:22:00","dzone.com","DZone","eng","Distributed Multi-Document ACID Transactions in Couchbase - DZone Database","ACID Transactions are a must when you have strict data consistency requirements in your application. The costs of running transactions on distributed systems can rapidly create bottlenecks at scale. In this article, we will give you an overview of some of the challenges faced by NoSQL and NewSQL ..."
"6500240385","https://www.marketscreener.com//news/latest/Couchbase-Cloud-Now-Available-in-the-Microsoft-Azure-Marketplace--32851605/","2021-03-31","14:04:00","marketscreener.com","Market Screener","eng","Couchbase Cloud Now Available in the Microsoft Azure Marketplace","Santa Clara, Calif., March 31, 2021 (GLOBE NEWSWIRE) -- Couchbase, the creator of the enterprise-class, multicloud to edge NoSQL database, today announced the availability of Couchbase Cloud in the Microsoft Azure Marketplace, an online store that provides applications and services for use on ..."
"6490648405","https://www.sitepoint.com/use-json-data-fields-mysql-databases/","2021-03-25","2:52:00","sitepoint.com","SitePoint","eng","How to Use JSON Data Fields in MySQL Databases - SitePoint","My article ""SQL vs NoSQL: The Differences"" noted that the line between SQL and NoSQL databases has become increasingly blurred, with each camp adopting features from the other. MySQL 5.7+ InnoDB databases and PostgreSQL 9.2+ both directly support JSON document types in a single field. In this ..."
"6521418094","https://www.raymondcamden.com/2021/04/15/building-a-database-driven-eleventy-site","2021-04-15","13:57:00","raymondcamden.com","Raymond Camden 🥑","eng","Building a Database Driven Eleventy Site","For a large portion of my development career, I've been a databaser user of some sort or another. I spent many years working with app servers (ColdFusion) and almost always they were tied to a SQL database of some sort. In the beginning this was Microsoft Access (it was really easy to use), then SQL ..."
"6509914252","https://www.streetinsider.com/PRNewswire/Pressure+on+Digital+Architects+More+than+Doubles+During+COVID-19%2C+Couchbase+Research+Finds/18233677.html","2021-04-07","15:00:00","streetinsider.com","Streetinsider.com","eng","Pressure on Digital Architects More than Doubles During COVID-19, Couchbase Research Finds","News and research before you hear about it on CNBC and others. Claim your 1-week free trial to StreetInsider Premium here. SANTA CLARA, Calif., April 7, 2021 /PRNewswire/ --Â The pressure on digital architects has more than doubled since the outbreak of COVID-19, research from Couchbase, the ..."
